Fecha,WTI,JPM_Dollar_Index,BBDXY_Index,DXY_Index,VIX_Index,OPEP_TOTPROD,OPEP_TOTDEM,TBILL_10YR,TBILL_1YR
ene-00,30.43,107.071,N/A,105.92,23.37,26680,77,6.66,6.12
feb-00,26.9,106.665,N/A,105.44,24.11,26490,76.1,6.52,6.22
mar-00,25.74,104.787,N/A,110.14,26.2,27700,73.8,6.26,6.22
abr-00,29.01,103.948,N/A,108.74,23.65,27570,74.3,5.99,6.15
may-00,32.5,103.501,N/A,106.84,19.54,28080,75.8,6.44,6.33
jun-00,27.43,103.338,N/A,109.61,20.74,28340,74.4,6.10,6.17
jul-00,33.12,102.433,N/A,112.6,16.84,28840,77.9,6.05,6.08
ago-00,30.84,101.107,N/A,113.25,20.57,29060,77.2,5.83,6.18
sep-00,32.7,99.262,N/A,116.65,23.63,29510,76.3,5.80,6.13
oct-00,33.82,99.039,N/A,115.24,29.65,29490,77.2,5.74,6.01
nov-00,26.8,99.944,N/A,109.56,26.85,27990,78.6,5.72,6.09
dic-00,28.66,99.594,N/A,110.52,22.02,28370,77.1,5.24,5.60
ene-01,27.39,95.961,N/A,112.01,28.35,27830,77.9,5.16,4.81
feb-01,26.29,93.429,N/A,117.37,28.64,28270,76.7,5.10,4.68
mar-01,28.46,92.723,N/A,115.76,25.48,27760,75.7,4.89,4.30
abr-01,28.37,91.635,N/A,119.07,22.64,27490,75.2,5.14,3.98
may-01,26.25,91.347,N/A,119.47,19.06,25821,76.3,5.39,3.78
jun-01,26.35,89.646,N/A,117.18,21.62,27140,76.4,5.28,3.58
jul-01,27.2,89.327,N/A,113.42,24.92,27690,77.6,5.24,3.62
ago-01,23.43,86.361,N/A,113.41,31.93,27160,76,4.97,3.47
sep-01,21.18,85.222,N/A,114.86,33.56,26850,75.7,4.73,2.82
oct-01,19.44,86.367,N/A,116.13,23.84,26470,78.3,4.57,2.33
nov-01,19.84,86.463,N/A,116.75,23.8,25810,77.1,4.65,2.18
dic-01,19.48,86.483,N/A,120.21,21.09,25010,76.4,5.09,2.22
ene-02,21.74,86.318,N/A,119.16,21.59,24950,77,5.04,2.16
feb-02,26.31,87.12,N/A,118.62,17.4,25300,76.4,4.91,2.23
mar-02,27.29,87.528,N/A,115.19,21.91,24100,75.2,5.28,2.57
abr-02,25.31,86.962,N/A,111.81,19.98,24890,74.6,5.21,2.48
may-02,26.86,84.504,N/A,106.11,25.4,24800,75.4,5.16,2.35
jun-02,27.02,82.256,N/A,107.41,32.03,25220,76.1,4.93,2.20
jul-02,28.98,82.899,N/A,106.98,32.64,25160,76.7,4.65,1.96
ago-02,30.45,80.076,N/A,106.87,39.69,25950,77.4,4.26,1.76
sep-02,27.22,81.401,N/A,106.64,31.14,26960,78.4,3.87,1.72
oct-02,26.89,82.995,N/A,106.38,27.5,26690,80.5,3.94,1.65
nov-02,31.2,83.591,N/A,101.85,28.62,24860,80.5,4.05,1.49
dic-02,33.51,82.824,N/A,99.91,31.17,25660,78.8,4.03,1.45
ene-03,36.6,83.206,N/A,99.71,29.63,27310,80.9,4.05,1.36
feb-03,31.04,83.801,N/A,98.88,29.15,27520,77.6,3.90,1.30
mar-03,25.8,87.598,N/A,97.19,21.21,26700,76.6,3.81,1.24
abr-03,29.56,87.699,N/A,93.29,19.47,26835,76.3,3.96,1.27
may-03,30.19,88.087,N/A,94.73,19.52,26340,77.8,3.57,1.18
jun-03,30.54,87.701,N/A,96.89,19.49,26650,78.5,3.33,1.01
jul-03,31.57,87.535,N/A,98.1,18.63,27060,78.6,3.98,1.12
ago-03,29.2,89.251,N/A,92.85,22.72,27350,81,4.45,1.31
sep-03,29.11,89.684,N/A,92.73,16.1,27840,81.9,4.27,1.24
